date,ticker,mom_1m,mom_3m,momentum_score
2026-02-05,SBUX,0.073888,0.215629,1.00796
2026-02-05,TSLA,-0.082571,-0.105906,-1.030085
2026-02-06,NKE,0.011072,0.035712,-0.281049
2026-02-06,TGT,0.114594,0.27264,1.109801
2026-02-06,DIS,-0.037286,-0.017282,-0.695111
2026-02-06,SBUX,0.147191,0.208596,0.981331
2026-02-06,TSLA,-0.047055,-0.110286,-1.114972
2026-02-09,NKE,-0.043671,0.01484,-0.538578
2026-02-09,TGT,0.086429,0.312127,1.213541
2026-02-09,DIS,-0.061662,-0.02385,-0.770947
2026-02-09,SBUX,0.122477,0.21254,0.953057
2026-02-09,TSLA,-0.042405,-0.064116,-0.857073
2026-02-10,NKE,-0.043689,0.038508,-0.540312
2026-02-10,TGT,0.073067,0.256656,1.306778
2026-02-10,DIS,-0.051087,-0.000325,-0.795293
2026-02-10,SBUX,0.097322,0.148003,0.841301
2026-02-10,TSLA,-0.044493,-0.010034,-0.812475
2026-02-11,NKE,-0.050122,0.03204,-0.532564
2026-02-11,TGT,0.090782,0.29213,1.304844
2026-02-11,DIS,-0.041659,-0.030189,-0.778933
2026-02-11,SBUX,0.101823,0.180096,0.842076
2026-02-11,TSLA,-0.046084,-0.038093,-0.835423
2026-02-12,NKE,-0.078431,-0.026286,-0.549887
2026-02-12,TGT,0.047925,0.258692,1.314349
2026-02-12,DIS,-0.093822,-0.102545,-0.965261
2026-02-12,SBUX,0.068463,0.127737,0.81392
2026-02-12,TSLA,-0.067375,-0.051294,-0.61312
2026-02-13,NKE,-0.037212,-0.010389,-0.414222
2026-02-13,TGT,0.064809,0.272302,1.521975
2026-02-13,DIS,-0.071171,-0.089897,-0.985286
2026-02-13,SBUX,0.035599,0.08958,0.455353
2026-02-13,TSLA,-0.049545,-0.030562,-0.57782
2026-02-17,NKE,0.003561,-0.012058,-0.456851
2026-02-17,TGT,0.059347,0.299109,1.566294
2026-02-17,DIS,-0.070276,-0.013536,-0.872091
2026-02-17,SBUX,0.029215,0.11868,0.405395
2026-02-17,TSLA,-0.063707,0.021493,-0.642746
2026-02-18,NKE,0.018173,0.028027,-0.343194
2026-02-18,TGT,0.049931,0.299625,1.531692
2026-02-18,DIS,-0.03687,0.019136,-0.73834
2026-02-18,SBUX,0.036429,0.136796,0.441881
2026-02-18,TSLA,-0.05984,0.017238,-0.892038
2026-02-19,NKE,0.031117,0.049744,-0.241034
2026-02-19,TGT,0.06856,0.320483,1.558871
2026-02-19,DIS,-0.039333,0.009719,-0.886254
2026-02-19,SBUX,0.029445,0.152083,0.346901
2026-02-19,TSLA,-0.017985,0.006823,-0.778484
2026-02-20,NKE,-0.000153,0.053249,-0.330457
2026-02-20,TGT,0.111626,0.33149,1.567786
2026-02-20,DIS,-0.067232,0.000135,-0.915444
2026-02-20,SBUX,0.017512,0.177471,0.360116
2026-02-20,TSLA,-0.045476,0.026343,-0.682
2026-02-23,NKE,-0.036205,0.013614,-0.409733
2026-02-23,TGT,0.075049,0.330073,1.595978
2026-02-23,DIS,-0.077732,0.004265,-0.648307
2026-02-23,SBUX,-0.004579,0.139952,0.331025
2026-02-23,TSLA,-0.110223,-0.010297,-0.868962
2026-02-24,NKE,-0.014606,0.049962,-0.420014
2026-02-24,TGT,0.079509,0.394537,1.646083
2026-02-24,DIS,-0.044422,0.039606,-0.609212
2026-02-24,SBUX,-0.004995,0.175652,0.217215
2026-02-24,TSLA,-0.088362,0.035802,-0.834072
2026-02-25,NKE,-0.024465,0.015999,-0.631781
2026-02-25,TGT,0.131438,0.342436,1.64225
2026-02-25,DIS,-0.056239,0.0142,-0.790067
2026-02-25,SBUX,0.023166,0.154793,0.247131
2026-02-25,TSLA,-0.040901,0.067274,-0.467532
2026-02-26,NKE,0.013631,0.03921,-0.370204
2026-02-26,TGT,0.113905,0.371628,1.5703
2026-02-26,DIS,-0.045746,0.042419,-0.622108
2026-02-26,SBUX,0.031263,0.184455,0.360256
2026-02-26,TSLA,-0.051799,-0.022021,-0.938245
2026-02-27,NKE,-0.000964,-0.017321,-0.54286
2026-02-27,TGT,0.129814,0.327643,1.575819
2026-02-27,DIS,-0.032128,0.03337,-0.455898
2026-02-27,SBUX,0.036697,0.148319,0.362529
2026-02-27,TSLA,-0.067098,-0.040272,-0.939589
2026-03-02,NKE,-0.01893,-0.039219,-0.637409
2026-03-02,TGT,0.111639,0.273062,1.560693
2026-03-02,DIS,-0.064976,0.015526,-0.594226
2026-03-02,SBUX,0.037324,0.12323,0.448131
